product_id,category,product_name,price,cost,margin_pct
5001,Home & Kitchen,Home Mini 787,134.88,87.67,35
5002,Electronics,Electronics Prime 307,460.37,405.13,12
5003,Electronics,Electronics Pro 395,904.76,796.19,12
5004,Toys,Toys Mini 137,28.35,17.01,40
5005,Electronics,Electronics Plus 678,466.82,410.8,12
5006,Beauty,Beauty Pro 114,29.79,13.41,55
5007,Sports,Sports Ultra 685,87.89,61.52,30
5008,Electronics,Electronics Plus 482,18.74,16.49,12
5009,Beauty,Beauty Prime 562,33.11,14.9,55
5010,Home & Kitchen,Home Mini 442,91.19,59.27,35
5011,Beauty,Beauty Prime 402,41.93,18.87,55
5012,Sports,Sports Classic 445,105.44,73.81,30
5013,Home & Kitchen,Home Plus 615,73.85,48,35
5014,Home & Kitchen,Home Pro 108,73.96,48.07,35
5015,Books,Books Lite 934,18.22,13.66,25
5016,Home & Kitchen,Home Pro 851,134.76,87.59,35
5017,Electronics,Electronics Ultra 381,5,4.4,12
5018,Home & Kitchen,Home Classic 464,76.3,49.59,35
5019,Clothing,Clothing Eco 238,58.12,31.97,45
5020,Home & Kitchen,Home Ultra 676,55.03,35.77,35
5021,Clothing,Clothing Lite 224,87.96,48.38,45
5022,Sports,Sports Classic 532,39.09,27.36,30
5023,Sports,Sports Lite 710,51.88,36.32,30
5024,Clothing,Clothing Eco 503,66.92,36.81,45
5025,Electronics,Electronics Ultra 958,309.83,272.65,12
5026,Beauty,Beauty Pro 102,26.75,12.04,55
5027,Beauty,Beauty Lite 634,19.59,8.82,55
5028,Clothing,Clothing Eco 942,48.5,26.68,45
5029,Books,Books Lite 694,19.52,14.64,25
5030,Home & Kitchen,Home Eco 753,68.87,44.77,35
5031,Toys,Toys Ultra 664,47.31,28.39,40
5032,Clothing,Clothing Pro 533,32.31,17.77,45
5033,Electronics,Electronics Max 375,382.22,336.35,12
5034,Beauty,Beauty Classic 410,36.33,16.35,55
5035,Home & Kitchen,Home Prime 861,110.22,71.64,35
5036,Home & Kitchen,Home Max 736,86.97,56.53,35
5037,Books,Books Elite 909,21.01,15.76,25
5038,Books,Books Pro 290,32.45,24.34,25
5039,Toys,Toys Max 713,26.29,15.77,40
5040,Clothing,Clothing Lite 767,66.89,36.79,45
5041,Sports,Sports Plus 703,117.42,82.19,30
5042,Clothing,Clothing Mini 253,29.15,16.03,45
5043,Home & Kitchen,Home Ultra 838,124.51,80.93,35
5044,Books,Books Ultra 507,26.38,19.79,25
5045,Clothing,Clothing Elite 903,83.2,45.76,45
5046,Toys,Toys Plus 407,34.12,20.47,40
5047,Clothing,Clothing Ultra 231,5,2.75,45
5048,Home & Kitchen,Home Pro 120,157.23,102.2,35
5049,Electronics,Electronics Max 728,279.32,245.8,12
5050,Electronics,Electronics Eco 834,617.56,543.45,12
5051,Books,Books Lite 768,12.46,9.35,25
5052,Toys,Toys Max 479,31.38,18.83,40
5053,Clothing,Clothing Lite 563,59.98,32.99,45
5054,Toys,Toys Ultra 921,25.52,15.31,40
5055,Books,Books Lite 986,29.64,22.23,25
5056,Sports,Sports Classic 911,85.1,59.57,30
5057,Electronics,Electronics Prime 705,557.97,491.01,12
5058,Clothing,Clothing Max 730,34.8,19.14,45
5059,Home & Kitchen,Home Eco 538,87.4,56.81,35
5060,Clothing,Clothing Mini 314,69.44,38.19,45
5061,Home & Kitchen,Home Max 621,77.91,50.64,35
5062,Electronics,Electronics Max 368,393.24,346.05,12
5063,Toys,Toys Classic 595,26.94,16.16,40
5064,Clothing,Clothing Pro 417,33.04,18.17,45
5065,Beauty,Beauty Max 267,46.21,20.79,55
5066,Sports,Sports Max 401,74.1,51.87,30
5067,Clothing,Clothing Lite 977,59.16,32.54,45
5068,Clothing,Clothing Ultra 469,61.74,33.96,45
5069,Sports,Sports Classic 800,98.14,68.7,30
5070,Electronics,Electronics Prime 467,608.29,535.3,12
5071,Beauty,Beauty Elite 639,18.78,8.45,55
5072,Home & Kitchen,Home Eco 929,68.39,44.45,35
5073,Home & Kitchen,Home Pro 365,52.13,33.88,35
5074,Clothing,Clothing Ultra 597,72.48,39.86,45
5075,Clothing,Clothing Plus 990,71.43,39.29,45
5076,Sports,Sports Classic 469,45.12,31.58,30
5077,Home & Kitchen,Home Eco 322,133.5,86.78,35
5078,Sports,Sports Prime 641,55.4,38.78,30
5079,Sports,Sports Pro 916,54.97,38.48,30
5080,Beauty,Beauty Eco 763,29.43,13.24,55
5081,Beauty,Beauty Plus 666,24.64,11.09,55
5082,Home & Kitchen,Home Ultra 353,137.9,89.64,35
5083,Clothing,Clothing Lite 750,68.44,37.64,45
5084,Beauty,Beauty Eco 698,38.01,17.1,55
5085,Books,Books Elite 449,17.78,13.34,25
5086,Sports,Sports Eco 612,118.92,83.24,30
5087,Books,Books Classic 533,12.69,9.52,25
5088,Books,Books Prime 497,26.01,19.51,25
5089,Beauty,Beauty Plus 784,29.62,13.33,55
5090,Clothing,Clothing Plus 895,23.37,12.85,45
5091,Clothing,Clothing Elite 391,48.79,26.83,45
5092,Toys,Toys Pro 769,18.2,10.92,40
5093,Clothing,Clothing Prime 545,56.17,30.89,45
5094,Home & Kitchen,Home Max 495,134.91,87.69,35
5095,Electronics,Electronics Prime 550,516.16,454.22,12
5096,Beauty,Beauty Ultra 812,24.68,11.11,55
5097,Clothing,Clothing Plus 130,40.45,22.25,45
5098,Beauty,Beauty Elite 398,29.95,13.48,55
5099,Beauty,Beauty Eco 851,26.13,11.76,55
